epoch,train/cls_loss,train/reg_loss,train/loss,_epoch_seconds,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr,time/epoch_seconds,memory/peak_mb
1,1.9645125044044107,0.007500093826195098,1.972012585029006,216.80974411964417,1.0135643772082403,0.0,0.0,0.0,0.0,0.0001,216.80974411964417,21085.3466796875
2,0.8009038216550834,0.005150968645466492,0.8060547895729542,43.26320505142212,0.7947025671310257,0.0,0.0,0.0,0.0,9.755282581475769e-05,43.26320505142212,20289.54345703125
3,0.6461314198968466,0.004583911154185216,0.650715327821672,51.17061734199524,0.7662674583989428,0.0,0.0,0.0,0.0,9.045084971874737e-05,51.17061734199524,21095.66748046875
4,0.5685509403119795,0.0045042915663771055,0.5730552263557911,47.46470332145691,0.7687980007103761,0.0002552738005761057,5.0004029617412016e-05,0.16666666666666666,0.010764262648008612,7.938926261462366e-05,47.46470332145691,20426.283203125
5,0.5205143538405537,0.004445565108227356,0.5249599171802402,51.34282183647156,0.8081915850270889,0.0002133484958903864,5.500075712916441e-05,0.07446808510638298,0.022604951560818085,6.545084971874737e-05,51.34282183647156,21011.14013671875
6,0.49016235758244875,0.004420351830162872,0.4945827042683959,47.76809334754944,0.7730261873330164,0.00035820933408103883,7.864341023378074e-05,0.0944055944055944,0.02906350914962325,4.9999999999999996e-05,47.76809334754944,20443.9921875
7,0.4710967823557439,0.004348596303145769,0.47544538136571646,42.14683413505554,0.7521631962408719,0.00039416554500348866,6.964534986764193e-05,0.06735751295336788,0.02798708288482239,3.454915028125263e-05,42.14683413505554,20134.59765625
8,0.45921328082476975,0.004273415168114525,0.4634866937994957,46.801069498062134,0.7393286638180143,0.0003086737124249339,6.336502701742575e-05,0.056074766355140186,0.02583423035522067,2.0610737385376345e-05,46.801069498062134,20517.40771484375
9,0.4535524993953004,0.004174132833298927,0.4577266345731914,48.874120473861694,0.7721492291711911,0.00033931469079107046,6.296704668784514e-05,0.06285714285714286,0.023681377825618945,9.549150281252631e-06,48.874120473861694,21011.82177734375
10,0.45098132725979667,0.004147920866643062,0.45512924483045936,41.55068635940552,0.8898424077488016,0.00023200710711535066,4.769414954353124e-05,0.042735042735042736,0.02691065662002153,2.447174185242323e-06,41.55068635940552,20270.666015625
