epoch,train/loss,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr
2,3.85691,3.32641,0.60182,0.44359,0.63692,0.54201,3.57e-06
3,3.7241299999999997,3.2995900000000002,0.60928,0.45292,0.65042,0.54459,8.24753e-06
4,3.84303,3.26495,0.62636,0.46505,0.67961,0.54741,1.28308e-05
5,3.78956,3.2321600000000004,0.63781,0.47566,0.657,0.58091,1.73199e-05
6,3.83143,3.19602,0.65337,0.48949,0.7094,0.56927,2.17146e-05
7,3.4708699999999997,3.16564,0.6673,0.49926,0.72352,0.57452,2.60152e-05
8,3.6185799999999997,3.12655,0.6831,0.5102,0.69827,0.60641,3.02215e-05
9,3.44572,3.09053,0.69964,0.52377,0.76262,0.61626,3.43335e-05
10,3.4706,3.0611099999999998,0.70837,0.5335,0.77486,0.62865,3.83513e-05
11,3.39131,3.02379,0.71732,0.544,0.81786,0.62799,4.22749e-05
12,3.35855,2.98177,0.72096,0.54538,0.80733,0.63071,4.61042e-05
13,3.4143100000000004,2.95599,0.73494,0.55878,0.79751,0.6538,4.98392e-05
14,3.29195,2.93751,0.73862,0.55821,0.78858,0.66528,5.348e-05
15,3.29107,2.90545,0.74546,0.56162,0.80539,0.6543,5.70266e-05
16,3.19168,2.8792999999999997,0.75496,0.5708,0.83437,0.66852,6.04789e-05
17,3.1633699999999996,2.8620200000000002,0.75765,0.57473,0.84228,0.66522,6.3837e-05
18,3.19597,2.83543,0.76215,0.57999,0.81041,0.69004,6.71008e-05
19,3.1592199999999995,2.81993,0.76661,0.58771,0.83764,0.68189,7.02703e-05
20,3.1580500000000002,2.81117,0.77412,0.59556,0.82178,0.69233,7.33457e-05
21,3.18551,2.78751,0.7795,0.59718,0.81373,0.70022,7.63267e-05
22,3.07109,2.76228,0.78436,0.59977,0.82872,0.70411,7.92135e-05
23,3.03748,2.72598,0.80124,0.61182,0.80123,0.72623,8.20061e-05
24,3.0587999999999997,2.68715,0.80387,0.61743,0.80045,0.7254,8.47044e-05
25,3.1289700000000003,2.6581099999999998,0.81175,0.62734,0.78843,0.76268,8.73085e-05
26,3.0153099999999995,2.6439199999999996,0.81671,0.63663,0.80607,0.74827,8.98183e-05
27,2.98594,2.63199,0.82147,0.6386,0.85232,0.72202,8.95475e-05
28,2.9169099999999997,2.63106,0.82422,0.64172,0.83987,0.72878,8.83694e-05
29,3.11332,2.61641,0.82105,0.64129,0.83395,0.73301,8.71913e-05
30,3.0130800000000004,2.59955,0.82902,0.64695,0.85125,0.73543,8.60132e-05
31,2.92066,2.57127,0.83179,0.65021,0.83847,0.73973,8.48351e-05
32,2.91393,2.54491,0.83714,0.6614,0.85808,0.74057,8.3657e-05
