epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30802,1.19172,1.40141,1.26378,0.63692,0.54201,0.60182,0.44359,1.0848,1.11793,1.12368,3.57e-06,3.57e-06,3.57e-06
2,9.29703,1.14756,1.34212,1.23445,0.65042,0.54459,0.60928,0.45292,1.07918,1.10067,1.11974,8.24753e-06,8.24753e-06,8.24753e-06
3,11.066,1.21673,1.36742,1.25888,0.67961,0.54741,0.62636,0.46505,1.07276,1.07564,1.11655,1.28308e-05,1.28308e-05,1.28308e-05
4,13.6581,1.19366,1.3376,1.2583,0.657,0.58091,0.63781,0.47566,1.06698,1.05238,1.1128,1.73199e-05,1.73199e-05,1.73199e-05
5,15.0051,1.2107,1.37648,1.24425,0.7094,0.56927,0.65337,0.48949,1.05994,1.02839,1.10769,2.17146e-05,2.17146e-05,2.17146e-05
6,17.1576,1.09691,1.17517,1.19879,0.72352,0.57452,0.6673,0.49926,1.05189,1.01117,1.10258,2.60152e-05,2.60152e-05,2.60152e-05
7,19.2141,1.15933,1.23241,1.22684,0.69827,0.60641,0.6831,0.5102,1.04259,0.9878,1.09616,3.02215e-05,3.02215e-05,3.02215e-05
8,21.2741,1.08405,1.16569,1.19598,0.76262,0.61626,0.69964,0.52377,1.03395,0.96592,1.09066,3.43335e-05,3.43335e-05,3.43335e-05
9,23.2531,1.12047,1.14399,1.20614,0.77486,0.62865,0.70837,0.5335,1.02971,0.94505,1.08635,3.83513e-05,3.83513e-05,3.83513e-05
10,25.2721,1.06707,1.15933,1.16491,0.81786,0.62799,0.71732,0.544,1.02373,0.9188,1.08126,4.22749e-05,4.22749e-05,4.22749e-05
11,27.2456,1.07601,1.12959,1.15295,0.80733,0.63071,0.72096,0.54538,1.01296,0.89553,1.07328,4.61042e-05,4.61042e-05,4.61042e-05
12,29.2118,1.11754,1.14524,1.15153,0.79751,0.6538,0.73494,0.55878,1.00883,0.87821,1.06895,4.98392e-05,4.98392e-05,4.98392e-05
13,31.1113,1.07034,1.07224,1.14937,0.78858,0.66528,0.73862,0.55821,1.00484,0.86474,1.06793,5.348e-05,5.348e-05,5.348e-05
14,32.9418,1.05788,1.06717,1.16602,0.80539,0.6543,0.74546,0.56162,0.99453,0.84825,1.06267,5.70266e-05,5.70266e-05,5.70266e-05
15,34.7863,1.03388,1.007,1.1508,0.83437,0.66852,0.75496,0.5708,0.98677,0.83277,1.05976,6.04789e-05,6.04789e-05,6.04789e-05
16,36.7193,1.05049,0.97768,1.1352,0.84228,0.66522,0.75765,0.57473,0.98208,0.82134,1.0586,6.3837e-05,6.3837e-05,6.3837e-05
17,38.6724,1.05886,1.00201,1.1351,0.81041,0.69004,0.76215,0.57999,0.97216,0.8108,1.05247,6.71008e-05,6.71008e-05,6.71008e-05
18,40.5461,1.04535,0.96458,1.14929,0.83764,0.68189,0.76661,0.58771,0.96688,0.80402,1.04903,7.02703e-05,7.02703e-05,7.02703e-05
19,42.5957,1.04616,0.99013,1.12176,0.82178,0.69233,0.77412,0.59556,0.96408,0.80079,1.0463,7.33457e-05,7.33457e-05,7.33457e-05
20,44.4537,1.03982,1.00684,1.13885,0.81373,0.70022,0.7795,0.59718,0.95969,0.78509,1.04273,7.63267e-05,7.63267e-05,7.63267e-05
21,46.4267,1.00117,0.94116,1.12876,0.82872,0.70411,0.78436,0.59977,0.95268,0.77008,1.03952,7.92135e-05,7.92135e-05,7.92135e-05
22,48.3657,0.99936,0.92037,1.11775,0.80123,0.72623,0.80124,0.61182,0.9417,0.75199,1.03229,8.20061e-05,8.20061e-05,8.20061e-05
23,50.2323,0.98072,0.95107,1.12701,0.80045,0.7254,0.80387,0.61743,0.92819,0.73524,1.02372,8.47044e-05,8.47044e-05,8.47044e-05
24,52.0713,1.03962,0.95769,1.13166,0.78843,0.76268,0.81175,0.62734,0.9155,0.7234,1.01921,8.73085e-05,8.73085e-05,8.73085e-05
25,53.9552,0.98508,0.91938,1.11085,0.80607,0.74827,0.81671,0.63663,0.90984,0.71602,1.01806,8.98183e-05,8.98183e-05,8.98183e-05
26,55.8171,0.94414,0.92915,1.11265,0.85232,0.72202,0.82147,0.6386,0.90631,0.71094,1.01474,8.95475e-05,8.95475e-05,8.95475e-05
27,57.7044,0.95773,0.8689,1.09028,0.83987,0.72878,0.82422,0.64172,0.90419,0.7123,1.01457,8.83694e-05,8.83694e-05,8.83694e-05
28,59.5797,1.03939,0.92992,1.14401,0.83395,0.73301,0.82105,0.64129,0.89603,0.70718,1.0132,8.71913e-05,8.71913e-05,8.71913e-05
29,61.4555,0.98292,0.92071,1.10945,0.85125,0.73543,0.82902,0.64695,0.88696,0.70263,1.00996,8.60132e-05,8.60132e-05,8.60132e-05
30,63.4169,0.93978,0.878,1.10288,0.83847,0.73973,0.83179,0.65021,0.87543,0.69038,1.00546,8.48351e-05,8.48351e-05,8.48351e-05
31,65.3362,0.96226,0.86056,1.09111,0.85808,0.74057,0.83714,0.6614,0.86705,0.67674,1.00112,8.3657e-05,8.3657e-05,8.3657e-05
32,67.3369,0.95727,0.85273,1.09767,0.81088,0.78153,0.84354,0.6678,0.8586,0.6627,0.99491,8.24789e-05,8.24789e-05,8.24789e-05
33,69.5369,0.93242,0.83007,1.08118,0.808,0.79178,0.84664,0.6745,0.85157,0.64851,0.99135,8.13008e-05,8.13008e-05,8.13008e-05
34,71.4048,0.88861,0.7875,1.06036,0.79567,0.81055,0.84975,0.67481,0.84672,0.64115,0.9881,8.01227e-05,8.01227e-05,8.01227e-05
35,73.3656,0.98039,0.86535,1.09317,0.79111,0.82705,0.85103,0.67616,0.84162,0.64098,0.98671,7.89446e-05,7.89446e-05,7.89446e-05
36,75.4386,0.96179,0.82685,1.07924,0.7975,0.82545,0.84968,0.67592,0.8366,0.63597,0.98442,7.77665e-05,7.77665e-05,7.77665e-05
37,77.5211,0.94973,0.77369,1.05914,0.79418,0.82906,0.85256,0.67831,0.83285,0.6294,0.9818,7.65884e-05,7.65884e-05,7.65884e-05
38,79.4976,0.94919,0.81489,1.0808,0.78782,0.82817,0.85247,0.67796,0.82851,0.62377,0.97804,7.54103e-05,7.54103e-05,7.54103e-05
39,81.5281,0.89369,0.80323,1.07751,0.81726,0.8047,0.85161,0.67103,0.82329,0.61507,0.97492,7.42322e-05,7.42322e-05,7.42322e-05
40,83.5946,0.89756,0.77592,1.05487,0.86626,0.7763,0.85627,0.67514,0.81846,0.60486,0.97144,7.30541e-05,7.30541e-05,7.30541e-05
41,85.5453,0.92243,0.78866,1.06404,0.8779,0.77329,0.85799,0.68088,0.8144,0.59503,0.96734,7.1876e-05,7.1876e-05,7.1876e-05
42,87.5318,0.92625,0.78529,1.05195,0.86009,0.78358,0.8555,0.68381,0.81241,0.59283,0.96485,7.06979e-05,7.06979e-05,7.06979e-05
43,89.5683,0.94018,0.78861,1.09688,0.85716,0.7907,0.85594,0.68944,0.80892,0.59281,0.9629,6.95198e-05,6.95198e-05,6.95198e-05
44,91.5398,0.91558,0.79239,1.07783,0.85612,0.79459,0.85611,0.69278,0.80654,0.58853,0.96231,6.83417e-05,6.83417e-05,6.83417e-05
45,93.5693,0.93323,0.78602,1.06297,0.85448,0.79901,0.858,0.69631,0.80367,0.58496,0.96055,6.71636e-05,6.71636e-05,6.71636e-05
46,95.8324,0.92378,0.81042,1.07832,0.85762,0.80285,0.86321,0.70425,0.80057,0.58225,0.96001,6.59855e-05,6.59855e-05,6.59855e-05
47,97.703,0.92724,0.77127,1.05759,0.86832,0.7937,0.86404,0.70913,0.79759,0.57962,0.95988,6.48074e-05,6.48074e-05,6.48074e-05
48,99.5826,0.94668,0.77762,1.07849,0.88743,0.78555,0.86424,0.70778,0.79417,0.5778,0.95825,6.36293e-05,6.36293e-05,6.36293e-05
49,101.472,0.86614,0.75706,1.06764,0.88483,0.79165,0.86787,0.70958,0.78797,0.57503,0.95674,6.24512e-05,6.24512e-05,6.24512e-05
50,103.351,0.91262,0.75257,1.06075,0.88539,0.79712,0.86849,0.71206,0.7837,0.57215,0.95522,6.12731e-05,6.12731e-05,6.12731e-05
51,105.201,0.85325,0.72416,1.03597,0.87231,0.80753,0.87165,0.71345,0.77868,0.56875,0.95303,6.0095e-05,6.0095e-05,6.0095e-05
52,107.056,0.90547,0.73719,1.07065,0.87113,0.82142,0.87325,0.71485,0.77555,0.56416,0.95155,5.89169e-05,5.89169e-05,5.89169e-05
53,108.926,0.89902,0.76262,1.06063,0.87867,0.82017,0.87568,0.71795,0.77149,0.56215,0.9503,5.77388e-05,5.77388e-05,5.77388e-05
54,110.83,0.86383,0.74921,1.05249,0.86891,0.82257,0.87436,0.71726,0.76911,0.56158,0.94912,5.65607e-05,5.65607e-05,5.65607e-05
55,112.706,0.87814,0.75342,1.03061,0.87474,0.82711,0.88012,0.72131,0.7659,0.55951,0.94749,5.53826e-05,5.53826e-05,5.53826e-05
56,114.618,0.9333,0.75314,1.05823,0.89966,0.81224,0.88019,0.7196,0.76402,0.55999,0.94641,5.42045e-05,5.42045e-05,5.42045e-05
57,116.504,0.86766,0.73765,1.0305,0.90492,0.81181,0.88177,0.72075,0.76206,0.56169,0.9449,5.30264e-05,5.30264e-05,5.30264e-05
58,118.324,0.8451,0.7148,1.0352,0.8987,0.81008,0.87886,0.72246,0.75813,0.55579,0.94287,5.18483e-05,5.18483e-05,5.18483e-05
59,120.179,0.90174,0.76613,1.05482,0.89763,0.80739,0.87459,0.71903,0.75632,0.55135,0.9412,5.06702e-05,5.06702e-05,5.06702e-05
60,122.138,0.82394,0.72947,1.03025,0.89188,0.80262,0.87418,0.71904,0.75641,0.5469,0.94084,4.94921e-05,4.94921e-05,4.94921e-05
61,124.374,0.86021,0.73662,1.04398,0.88071,0.80636,0.87595,0.7174,0.75713,0.54462,0.94072,4.8314e-05,4.8314e-05,4.8314e-05
62,126.274,0.93777,0.73845,1.05293,0.89814,0.7948,0.87683,0.71899,0.75293,0.54407,0.9404,4.71359e-05,4.71359e-05,4.71359e-05
63,128.12,0.88863,0.75259,1.05576,0.89732,0.80465,0.88532,0.72402,0.74987,0.54095,0.93879,4.59578e-05,4.59578e-05,4.59578e-05
64,130.006,0.89878,0.77043,1.04871,0.88825,0.81463,0.88567,0.71899,0.74831,0.54211,0.93879,4.47797e-05,4.47797e-05,4.47797e-05
65,131.922,0.84739,0.7183,1.03414,0.87647,0.81833,0.88675,0.71771,0.74807,0.54063,0.93815,4.36016e-05,4.36016e-05,4.36016e-05
66,133.817,0.85821,0.71898,1.02979,0.86908,0.82862,0.88555,0.71783,0.74522,0.53936,0.93717,4.24235e-05,4.24235e-05,4.24235e-05
67,135.711,0.84834,0.69964,1.04051,0.8582,0.83553,0.88911,0.72113,0.7433,0.53692,0.93587,4.12454e-05,4.12454e-05,4.12454e-05
68,137.581,0.87999,0.69667,1.02594,0.86811,0.82832,0.88883,0.72236,0.74174,0.53371,0.93459,4.00673e-05,4.00673e-05,4.00673e-05
69,139.403,0.87505,0.73097,1.0443,0.87693,0.8197,0.88161,0.72537,0.74137,0.53117,0.93359,3.88892e-05,3.88892e-05,3.88892e-05
70,141.263,0.82161,0.67302,1.02428,0.8708,0.81934,0.88155,0.72868,0.74008,0.52867,0.93268,3.77111e-05,3.77111e-05,3.77111e-05
71,143.147,0.89356,0.71825,1.04445,0.86989,0.81663,0.88281,0.73038,0.73938,0.52502,0.93194,3.6533e-05,3.6533e-05,3.6533e-05
72,145.005,0.85874,0.70368,1.04247,0.87341,0.81394,0.88176,0.7298,0.73829,0.52586,0.93081,3.53549e-05,3.53549e-05,3.53549e-05
73,146.824,0.85871,0.70287,1.02909,0.87805,0.81749,0.88303,0.72971,0.73838,0.52479,0.93061,3.41768e-05,3.41768e-05,3.41768e-05
74,148.613,0.88065,0.72181,1.04324,0.88057,0.81501,0.88283,0.7306,0.737,0.52553,0.93031,3.29987e-05,3.29987e-05,3.29987e-05
75,150.644,0.84294,0.69249,1.02304,0.8858,0.81269,0.8846,0.7345,0.73495,0.52472,0.92945,3.18206e-05,3.18206e-05,3.18206e-05
76,152.586,0.84886,0.70136,1.02646,0.88989,0.81045,0.88372,0.73438,0.73333,0.52394,0.92846,3.06425e-05,3.06425e-05,3.06425e-05
77,154.489,0.90516,0.74911,1.03295,0.88855,0.81163,0.88187,0.73496,0.73149,0.52068,0.92777,2.94644e-05,2.94644e-05,2.94644e-05
78,156.372,0.82345,0.67442,1.00888,0.88553,0.81333,0.88331,0.73572,0.73064,0.51929,0.92708,2.82863e-05,2.82863e-05,2.82863e-05
79,158.276,0.84935,0.69288,1.01894,0.88945,0.82103,0.89098,0.73747,0.73078,0.51769,0.92663,2.71082e-05,2.71082e-05,2.71082e-05
80,160.121,0.81507,0.68521,1.02102,0.89868,0.81591,0.89045,0.73905,0.72678,0.51582,0.9256,2.59301e-05,2.59301e-05,2.59301e-05
81,162.005,0.80293,0.68982,1.03137,0.89884,0.81721,0.89128,0.73794,0.723,0.51493,0.92497,2.4752e-05,2.4752e-05,2.4752e-05
82,163.875,0.85521,0.67932,1.02384,0.89139,0.82076,0.89166,0.7401,0.72005,0.51354,0.92423,2.35739e-05,2.35739e-05,2.35739e-05
83,165.771,0.83549,0.69375,1.0263,0.90407,0.81422,0.89208,0.73932,0.7176,0.51255,0.92356,2.23958e-05,2.23958e-05,2.23958e-05
84,167.605,0.86274,0.6893,1.01853,0.90453,0.8142,0.89223,0.74096,0.71542,0.51016,0.92262,2.12177e-05,2.12177e-05,2.12177e-05
85,169.49,0.82234,0.67458,1.01674,0.90383,0.8156,0.89197,0.74108,0.71579,0.51045,0.92231,2.00396e-05,2.00396e-05,2.00396e-05
86,171.369,0.82086,0.68875,1.0167,0.87925,0.83545,0.89427,0.74182,0.71414,0.50909,0.92176,1.88615e-05,1.88615e-05,1.88615e-05
87,173.273,0.84444,0.68389,1.02552,0.88302,0.8336,0.89436,0.74265,0.71297,0.50886,0.92093,1.76834e-05,1.76834e-05,1.76834e-05
88,175.236,0.8266,0.65952,1.00117,0.88741,0.83164,0.89316,0.74195,0.71229,0.50774,0.92047,1.65053e-05,1.65053e-05,1.65053e-05
89,177.338,0.84374,0.67972,1.00139,0.88922,0.83242,0.89312,0.74369,0.7103,0.50796,0.91981,1.53272e-05,1.53272e-05,1.53272e-05
90,179.219,0.83598,0.67927,1.01884,0.89205,0.83141,0.89315,0.74428,0.70918,0.50717,0.91929,1.41491e-05,1.41491e-05,1.41491e-05
91,200.189,0.80961,0.6799,0.97987,0.89222,0.82003,0.88646,0.74342,0.71064,0.50954,0.91944,1.2971e-05,1.2971e-05,1.2971e-05
92,202.185,0.86412,0.7344,1.02821,0.89295,0.8206,0.88632,0.74,0.71208,0.5107,0.91945,1.17929e-05,1.17929e-05,1.17929e-05
93,204.174,0.88235,0.72326,0.99832,0.89057,0.81889,0.88641,0.73908,0.7157,0.51223,0.92015,1.06148e-05,1.06148e-05,1.06148e-05
94,206.067,0.8908,0.73049,1.02371,0.89427,0.81412,0.88602,0.73702,0.71825,0.51305,0.92053,9.4367e-06,9.4367e-06,9.4367e-06
95,207.966,0.81424,0.66894,0.99749,0.8959,0.81133,0.88652,0.73737,0.72237,0.51343,0.9219,8.2586e-06,8.2586e-06,8.2586e-06
96,209.823,0.8143,0.68479,0.98556,0.89662,0.8106,0.88692,0.73507,0.72523,0.51558,0.92294,7.0805e-06,7.0805e-06,7.0805e-06
