epoch,train/loss,val/loss,mAP@0.5,mAP@0.5:0.95,Precision,Recall,lr
2,5.48745,4.06265,0.54088,0.36572,0.6254,0.49704,0.000138115
3,4.42692,3.94003,0.60333,0.39422,0.64316,0.56377,0.000274371
4,4.31538,4.127610000000001,0.55878,0.35356,0.5993,0.52845,0.000407876
5,4.304360000000001,4.02956,0.56351,0.36105,0.64163,0.51128,0.000404615
6,4.16576,4.32212,0.53139,0.33133,0.58593,0.51032,0.000400487
7,4.14657,3.99931,0.59204,0.37268,0.63821,0.56021,0.000396358
8,4.056,3.99863,0.61884,0.39294,0.6796,0.5604,0.00039223
9,3.9556699999999996,4.01055,0.60389,0.3898,0.66717,0.54396,0.000388102
10,3.86669,3.98198,0.62097,0.395,0.67966,0.57146,0.000383974
11,3.86977,3.99451,0.61929,0.39676,0.6792,0.55135,0.000379845
12,3.8025,4.015230000000001,0.61802,0.39272,0.69798,0.54474,0.000375717
13,3.74036,3.97524,0.60633,0.38508,0.68493,0.54298,0.000371589
14,3.71195,3.9013700000000004,0.62657,0.39841,0.68414,0.57071,0.00036746
15,3.6530199999999997,3.8781299999999996,0.63142,0.40749,0.68218,0.57304,0.000363332
16,3.6174399999999998,4.00664,0.62207,0.40136,0.67413,0.56479,0.000359204
17,3.5468900000000003,3.87048,0.62791,0.4081,0.69412,0.57074,0.000355076
18,3.53937,3.8507,0.64292,0.42051,0.7141,0.56528,0.000350947
19,3.4981299999999997,3.86853,0.64771,0.4169,0.6854,0.58756,0.000346819
20,3.46247,3.88624,0.62776,0.40632,0.68455,0.56998,0.000342691
21,3.4442500000000003,3.8470299999999997,0.63873,0.41593,0.70065,0.56807,0.000338562
22,3.40495,3.81149,0.63831,0.42514,0.67839,0.58811,0.000334434
23,3.3550000000000004,3.8154899999999996,0.64685,0.42261,0.68774,0.59507,0.000330306
24,3.36787,3.8647699999999996,0.65005,0.42007,0.68915,0.60122,0.000326177
25,3.36009,3.8107699999999998,0.65126,0.42518,0.71236,0.58658,0.000322049
26,3.2973,3.8093999999999997,0.64515,0.41838,0.68877,0.59652,0.000317921
27,3.29246,3.8656799999999993,0.64583,0.42391,0.7188,0.57494,0.000313792
28,3.26886,3.7721100000000005,0.65402,0.4309,0.729,0.57788,0.000309664
29,3.2463300000000004,3.7814,0.66124,0.43553,0.72197,0.58795,0.000305536
30,3.2178199999999997,3.83684,0.6478,0.42152,0.71658,0.58262,0.000301408
31,3.1685799999999995,3.76363,0.65431,0.431,0.72015,0.58395,0.000297279
32,3.16857,3.76868,0.66023,0.4299,0.72957,0.59222,0.000293151
33,3.12356,3.76039,0.66227,0.4324,0.71731,0.59971,0.000289023
34,3.1183500000000004,3.76824,0.66357,0.44152,0.71653,0.60263,0.000284894
35,3.11519,3.79101,0.65904,0.43329,0.72245,0.5946,0.000280766
36,3.11531,3.8059199999999995,0.65214,0.42628,0.71172,0.58363,0.000276638
37,3.06097,3.7501499999999997,0.67291,0.44387,0.72625,0.61115,0.000272509
38,3.03822,3.7634,0.67384,0.44384,0.70614,0.62274,0.000268381
39,3.0655,3.79643,0.66017,0.43557,0.71733,0.60498,0.000264253
40,3.0058499999999997,3.8131500000000003,0.64191,0.42291,0.72575,0.58569,0.000260125
41,3.0046,3.75588,0.67123,0.44373,0.72754,0.60921,0.000255996
42,2.9677,3.71738,0.67047,0.44795,0.74435,0.59368,0.000251868
43,2.98134,3.70416,0.66179,0.4402,0.69801,0.61772,0.00024774
44,2.9414499999999997,3.74655,0.66602,0.43981,0.71361,0.60978,0.000243611
45,2.94193,3.6991899999999998,0.67064,0.4468,0.73974,0.60541,0.000239483
46,2.9311100000000003,3.73188,0.66582,0.44455,0.71378,0.60788,0.000235355
47,2.9376499999999997,3.70258,0.66796,0.44464,0.71992,0.61226,0.000231226
48,2.89654,3.7128799999999997,0.67092,0.44962,0.7059,0.62308,0.000227098
49,2.87546,3.7283600000000003,0.66461,0.44268,0.71927,0.60346,0.00022297
50,2.87999,3.7130900000000002,0.66989,0.44466,0.73417,0.61123,0.000218842
51,2.86055,3.6513999999999998,0.66459,0.44806,0.72241,0.59609,0.000214713
52,2.85538,3.7134,0.67319,0.44467,0.73237,0.6091,0.000210585
53,2.84001,3.6866299999999996,0.68067,0.44884,0.73692,0.61071,0.000206457
54,2.8089399999999998,3.6847499999999997,0.67264,0.44928,0.73027,0.60831,0.000202328
55,2.80189,3.69646,0.6659,0.44492,0.72055,0.609,0.0001982
