epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.59,1.0536,3.17188,1.26197,0.6254,0.49704,0.54088,0.36572,1.10569,1.71465,1.24231,0.000138115,0.000138115,0.000138115
2,86.0513,1.14037,1.96139,1.32516,0.64316,0.56377,0.60333,0.39422,1.16011,1.48149,1.29843,0.000274371,0.000274371,0.000274371
3,122.509,1.1423,1.84123,1.33185,0.5993,0.52845,0.55878,0.35356,1.2246,1.55301,1.35,0.000407876,0.000407876,0.000407876
4,158.632,1.15989,1.80207,1.3424,0.64163,0.51128,0.56351,0.36105,1.21796,1.46298,1.34862,0.000404615,0.000404615,0.000404615
5,195.108,1.13421,1.70436,1.32719,0.58593,0.51032,0.53139,0.33133,1.2535,1.68168,1.38694,0.000400487,0.000400487,0.000400487
6,232.82,1.13838,1.68123,1.32696,0.63821,0.56021,0.59204,0.37268,1.22397,1.4259,1.34944,0.000396358,0.000396358,0.000396358
7,269.28,1.12075,1.62174,1.31351,0.6796,0.5604,0.61884,0.39294,1.22335,1.4192,1.35608,0.00039223,0.00039223,0.00039223
8,305.43,1.11654,1.53664,1.30249,0.66717,0.54396,0.60389,0.3898,1.23254,1.41556,1.36245,0.000388102,0.000388102,0.000388102
9,340.425,1.09324,1.48101,1.29244,0.67966,0.57146,0.62097,0.395,1.2359,1.38459,1.36149,0.000383974,0.000383974,0.000383974
10,375.304,1.09716,1.47789,1.29472,0.6792,0.55135,0.61929,0.39676,1.22838,1.40275,1.36338,0.000379845,0.000379845,0.000379845
11,410.854,1.08035,1.4398,1.28235,0.69798,0.54474,0.61802,0.39272,1.22933,1.43111,1.35479,0.000375717,0.000375717,0.000375717
12,447.644,1.07009,1.39296,1.27731,0.68493,0.54298,0.60633,0.38508,1.21472,1.40282,1.3577,0.000371589,0.000371589,0.000371589
13,483.574,1.06287,1.37719,1.27189,0.68414,0.57071,0.62657,0.39841,1.19768,1.36976,1.33393,0.00036746,0.00036746,0.00036746
14,518.366,1.055,1.3355,1.26252,0.68218,0.57304,0.63142,0.40749,1.20546,1.33839,1.33428,0.000363332,0.000363332,0.000363332
15,554.916,1.04999,1.31303,1.25442,0.67413,0.56479,0.62207,0.40136,1.23006,1.40799,1.36859,0.000359204,0.000359204,0.000359204
16,590.813,1.02668,1.2762,1.24401,0.69412,0.57074,0.62791,0.4081,1.20825,1.32642,1.33581,0.000355076,0.000355076,0.000355076
17,625.59,1.03306,1.2613,1.24501,0.7141,0.56528,0.64292,0.42051,1.2059,1.30224,1.34256,0.000350947,0.000350947,0.000350947
18,662.491,1.02542,1.23927,1.23344,0.6854,0.58756,0.64771,0.4169,1.21102,1.31083,1.34668,0.000346819,0.000346819,0.000346819
19,697.652,1.0205,1.20885,1.23312,0.68455,0.56998,0.62776,0.40632,1.20792,1.34241,1.33591,0.000342691,0.000342691,0.000342691
20,733.365,1.01384,1.19537,1.23504,0.70065,0.56807,0.63873,0.41593,1.21485,1.29318,1.339,0.000338562,0.000338562,0.000338562
21,767.849,1.00723,1.17132,1.2264,0.67839,0.58811,0.63831,0.42514,1.19072,1.30413,1.31664,0.000334434,0.000334434,0.000334434
22,802.452,1.0011,1.13729,1.21661,0.68774,0.59507,0.64685,0.42261,1.20054,1.28023,1.33472,0.000330306,0.000330306,0.000330306
23,838.287,1.00052,1.14546,1.22189,0.68915,0.60122,0.65005,0.42007,1.22335,1.29327,1.34815,0.000326177,0.000326177,0.000326177
24,873.864,1.00189,1.13984,1.21836,0.71236,0.58658,0.65126,0.42518,1.19986,1.27863,1.33228,0.000322049,0.000322049,0.000322049
25,909.443,0.97879,1.10808,1.21043,0.68877,0.59652,0.64515,0.41838,1.21948,1.26936,1.32056,0.000317921,0.000317921,0.000317921
26,944.835,0.97788,1.10271,1.21187,0.7188,0.57494,0.64583,0.42391,1.21054,1.30723,1.34791,0.000313792,0.000313792,0.000313792
27,980.462,0.96859,1.09307,1.2072,0.729,0.57788,0.65402,0.4309,1.19517,1.24941,1.32753,0.000309664,0.000309664,0.000309664
